Tms_1	Tms_2	Tms_3	Tml_1	Tml_2	Tml_3
Tpr_TRINITY_DN11809_c7_g3|Tdu_TRINITY_DN17369_c3_g2	7.37841651859429	6.88242766107244	6.89102718414335	6.21902910849491	6.42620726177865	6.99527588223689
Tpr_TRINITY_DN10769_c4_g1|Tdu_TRINITY_DN17328_c4_g1	9.43764374019839	9.4214328714307	8.83205046467101	9.20590167450929	9.0022366377298	9.3699110274551
Tpr_TRINITY_DN12636_c2_g10|Tdu_TRINITY_DN19969_c1_g5	4.19171580440115	5.08219717344822	6.07768182424336	2.4324327466041	9.71023874890749	6.9727333135858
Tpr_TRINITY_DN11366_c0_g1|Tdu_TRINITY_DN17359_c4_g3	7.39499940278989	7.8608407988643	7.47333033841401	6.33932334221262	8.62163263551483	7.95559218076441
Tpr_TRINITY_DN14222_c1_g6|Tdu_TRINITY_DN17376_c1_g4	6.38673178680629	7.62509561460283	5.4135491100886	5.78292999368823	6.68627010108116	5.41031338151573
Tpr_TRINITY_DN15390_c2_g2|Tdu_TRINITY_DN18344_c3_g3	9.16537541222237	8.88599427609264	9.1309619068334	9.65932656017549	8.67507189447629	9.068857014618
Tpr_TRINITY_DN14752_c6_g5|Tdu_TRINITY_DN21255_c1_g1	6.31882772230449	6.2465839913491	6.42460429859759	5.72521449583195	6.31517594938991	7.12359997921243
Tpr_TRINITY_DN7591_c0_g1|Tdu_TRINITY_DN21133_c2_g5	6.24756903913467	6.05710619248539	6.37986598383231	5.83842510627994	5.51262201359613	5.59875847092884
Tpr_TRINITY_DN10588_c1_g1|Tdu_TRINITY_DN18547_c0_g3	7.59483998213649	7.7080319555849	6.93807575694778	7.8586975013062	6.52930075474276	7.18372097165
Tpr_TRINITY_DN12632_c2_g1|Tdu_TRINITY_DN23203_c1_g1	5.8264313403194	5.65048093302275	5.06360663903164	5.15489877107519	5.21564027583899	5.71196908137683
Tpr_TRINITY_DN13531_c2_g5|Tdu_TRINITY_DN23075_c3_g1	9.49645738847184	9.9194444698164	9.27535181616858	7.54513287935346	9.43287099205966	9.03661667761779
